time,open,high,low,close,Volume,Volume MA,Conversion Line,Base Line,Lagging Span,Leading Span A,Leading Span B,Plot,Plot,Developing Poc,Developing VA High,Developing VA Low,Plot,Plot,Shapes,MA,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Bitcoin Stock to Flow Model,Bitcoin Stock to Flow Model,Bitcoin Stock to Flow Model,Bitcoin Stock to Flow Model,Plot,Mayer Multiple,Strongly Overvalued,Weakly Overvalued,Weakly Undervalued,Strongly Undervalued,Plot,Plot,MA,Range High Percentile,Range High Percentile,Williams Vix Fix,Upper Band,Vix,Plot,RSI
2016-06-13T20:00:00-04:00,17.86,19.08,16.96,18.79,35326,11732.7,14.665,NaN,10.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4,2.2,0.6,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75.22269639195396
2016-06-14T20:00:00-04:00,18.79,18.81,17.89,18.42,13614,12263.75,14.665,NaN,11.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4,2.2,0.6,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72.01959645372605
2016-06-15T20:00:00-04:00,18.51,21.35,18.5,20.99,34245,13009.55,16.025,NaN,11.99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4,2.2,0.6,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78.77894269067738
2016-06-16T20:00:00-04:00,20.99,22,13.75,15.65,123080,18379.9,16.85,NaN,11.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4,2.2,0.6,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,51.13657774686631
2016-06-17T20:00:00-04:00,15.64,15.74,10,11.64,80846,22252.95,16,NaN,11.33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4,2.2,0.6,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,39.833406732877464
2016-06-18T20:00:00-04:00,11.55,13.4,10.72,12.35,28839,23488.7,16,NaN,11.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4,2.2,0.6,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,42.266695836750365
2016-06-19T20:00:00-04:00,12.35,12.74,10.8,11.81,34635,24930.1,16,NaN,11.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4,2.2,0.6,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40.91149477976552
2016-06-20T20:00:00-04:00,11.44,13.89,11.2,13.89,32070,26014.15,16,NaN,12.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4,2.2,0.6,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47.8478582179718
2016-06-21T20:00:00-04:00,13.3,15.89,13.07,13.18,68057,29014.6,16,NaN,12.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4,2.2,0.6,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45.868505796444836
2016-06-22T20:00:00-04:00,13.18,14.5,12.68,13.81,34445,30086.65,16,NaN,14.83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4,2.2,0.6,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47.92695649555868
2016-06-23T20:00:00-04:00,13.98,14.8,13.25,14.55,32283,31388.3,16,NaN,14.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4,2.2,0.6,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.31683363239599
2016-06-24T20:00:00-04:00,14.55,14.74,14,14.37,10305,31805.9,16,NaN,12.78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4,2.2,0.6,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49.71909503941697
2016-06-25T20:00:00-04:00,14.39,14.49,13.6,14.02,7488,31923.2,16,NaN,13.91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4,2.2,0.6,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48.512309313841335
2016-06-26T20:00:00-04:00,14,14.59,13.85,14.1,10082,31776.5,16,NaN,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4,2.2,0.6,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48.818104007650604
2016-06-27T20:00:00-04:00,14.06,14.25,11.52,12.23,42382,33264.75,16,NaN,13.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4,2.2,0.6,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,42.46871475272574
2016-06-28T20:00:00-04:00,12.16,13.13,11.62,12.74,26010,34154.05,16,NaN,12.93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4,2.2,0.6,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.58555124941003
2016-06-29T20:00:00-04:00,12.7,13.06,12.19,12.49,12663,33920.2,16,NaN,12.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4,2.2,0.6,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.736024499504886
2016-06-30T20:00:00-04:00,12.48,12.54,11.8,12.34,19198,34501.05,16,NaN,12.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4,2.2,0.6,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.204107476339274
2016-07-01T20:00:00-04:00,12.28,12.45,12,12.09,11823,34075.6,16,NaN,11.99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4,2.2,0.6,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,42.28114351670341
2016-07-02T20:00:00-04:00,12.16,12.16,11.65,12.02,11726,33455.85,16,NaN,10.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4,2.2,0.6,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,42.01052313061155
2016-07-03T20:00:00-04:00,11.94,11.99,11.41,11.48,5533,31966.2,16,NaN,8.78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4,2.2,0.6,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,39.889465795802096
2016-07-04T20:00:00-04:00,11.45,11.48,9.31,10.6,34516,33011.3,15.655000000000001,NaN,10.68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4,2.2,0.6,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36.642669651265486
2016-07-05T20:00:00-04:00,10.6,11,10.24,10.61,14283,32013.2,15.655000000000001,NaN,11.32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4,2.2,0.6,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36.70571648787397
2016-07-06T20:00:00-04:00,10.6,10.7,9.75,10.08,21332,26925.8,12.600000000000001,NaN,11.18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4,2.2,0.6,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.73298020159389
2016-07-07T20:00:00-04:00,10.08,11.8,10.05,11.43,27624,24264.7,12.600000000000001,NaN,11.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4,2.2,0.6,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.118819078534365
2016-07-08T20:00:00-04:00,11.39,11.57,10.68,11.01,9084,23276.95,12.600000000000001,NaN,10.99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4,2.2,0.6,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41.339247333699724
2016-07-09T20:00:00-04:00,11.02,11.3,10.9,11.02,9663,22028.35,12.600000000000001,NaN,11.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4,2.2,0.6,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41.401258846020035
2016-07-10T20:00:00-04:00,11,11.16,10.11,10.72,11105,20980.1,12.600000000000001,NaN,12.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4,2.2,0.6,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40.03397298823425
2016-07-11T20:00:00-04:00,10.65,10.98,10.5,10.57,13925,18273.5,12.055,NaN,12.21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4,2.2,0.6,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,39.33449501655243
2016-07-12T20:00:00-04:00,10.58,10.65,10.49,10.49,5528,16827.65,12.055,NaN,11.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4,2.2,0.6,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,38.94368489399098
2016-07-13T20:00:00-04:00,10.5,11.78,10.33,11.62,25197,16473.35,12.025,NaN,11.81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4,2.2,0.6,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46.95990539823573
2016-07-14T20:00:00-04:00,11.56,12.75,11.4,11.99,24305,17173.35,11.95,NaN,11.61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4,2.2,0.6,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49.30681626758036
2016-07-15T20:00:00-04:00,11.98,12.4,11.79,11.8,7836,17190.75,11.95,NaN,11.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4,2.2,0.6,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48.129110764742315
2016-07-16T20:00:00-04:00,11.81,11.92,11.02,11.33,12643,17318.8,11.780000000000001,NaN,11.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4,2.2,0.6,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45.24988223624871
2016-07-17T20:00:00-04:00,11.27,11.93,11,11.05,14256,15912.5,11.22,NaN,11.18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4,2.2,0.6,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.577351945388465
2016-07-18T20:00:00-04:00,11.08,11.98,11.07,11.75,7850,15004.5,11.185,NaN,10.82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4,2.2,0.6,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48.68397967490416
